generation,best_distance,average_distance,worst_distance,best_fitness,average_fitness,worst_fitness
119,509.3456173562158,509.6122955157717,528.477590963806,0.0019594564271569136,0.00195846327729945,0.0018886540565006798
120,509.3456173562158,509.34561735621566,509.3456173562158,0.0019594564271569136,0.0019594564271569136,0.0019594564271569136
121,509.3456173562158,509.7468602334146,549.4699050761114,0.0019594564271569136,0.001958028160275603,0.0018166297390258487
122,509.3456173562158,510.41034547404115,573.8293190217142,0.0019594564271569136,0.00195576873022199,0.001739646825429628
123,509.3456173562158,509.34561735621566,509.3456173562158,0.0019594564271569136,0.0019594564271569136,0.0019594564271569136
124,509.3456173562158,509.6327167137455,538.0555531091954,0.0019594564271569136,0.001958412826589032,0.0018550963703687733
125,509.3456173562158,510.061426411756,558.7270846333274,0.0019594564271569136,0.0019569109022813417,0.001786584975881758
126,509.3456173562158,509.34561735621566,509.3456173562158,0.0019594564271569136,0.0019594564271569136,0.0019594564271569136
127,509.3456173562158,509.34561735621566,509.3456173562158,0.0019594564271569136,0.0019594564271569136,0.0019594564271569136
128,506.837765624095,509.55622015943646,526.2892614459563,0.001969132797304025,0.001958672463129083,0.0018964922540955131
129,506.837765624095,510.4531476068278,588.7162438868428,0.001969132797304025,0.0019557082389862522,0.001695730803358851
130,506.837765624095,510.9578164185001,550.388758612006,0.001969132797304025,0.001953708169201045,0.0018136024436139564
131,506.837765624095,509.8940160339506,559.9545346073645,0.001969132797304025,0.001957669965920801,0.0017826756685369195
132,506.837765624095,508.82156530945593,552.2387785008176,0.001969132797304025,0.001961614261458714,0.0018075377917466827
133,506.837765624095,507.3393359705192,509.3456173562158,0.001969132797304025,0.001967197523274603,0.0019594564271569136
134,506.837765624095,507.3097726043224,547.623122962321,0.001969132797304025,0.0019674232677548017,0.0018227449010906514
135,506.837765624095,509.0159000534004,565.0903281019465,0.001969132797304025,0.0019614037539002717,0.0017665025356517153
136,506.837765624095,507.15808766435663,538.8699696502529,0.001969132797304025,0.0019679644481261907,0.001852297879520574
137,506.837765624095,507.1621822692809,539.2794301426793,0.001969132797304025,0.0019679504101532534,0.0018508940822268873
138,506.837765624095,506.87446385168676,510.507588383265,0.001969132797304025,0.0019689915214262184,0.0019550052095233337
139,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
140,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
141,506.837765624095,507.909746975198,560.8326832663656,0.001969132797304025,0.0019653730445243,0.0017798893332196886
142,506.837765624095,507.15677854344636,538.7390575592265,0.001969132797304025,0.0019679689408191913,0.001852747148820647
143,506.837765624095,507.14676288776917,537.737491991504,0.001969132797304025,0.0019680033851966023,0.0018561915865617353
144,506.837765624095,507.7004396190495,564.045504448834,0.001969132797304025,0.0019660733626890065,0.0017697689692716635
145,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
146,506.837765624095,507.51662732235286,544.6052489674448,0.001969132797304025,0.001966667276030515,0.0018328269419923928
147,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
148,506.837765624095,507.09582215345625,532.6434185602161,0.001969132797304025,0.001968180574231745,0.0018739104900759877
149,506.837765624095,507.0767681101686,530.7380142314444,0.001969132797304025,0.001968247723035553,0.0018806253704568502
150,506.837765624095,507.3871405061651,539.7055122689928,0.001969132797304025,0.0019671157147572393,0.0018494355565262207
151,506.837765624095,507.7042163779249,557.3042477384781,0.001969132797304025,0.0019660433223604797,0.0017911380829551233
152,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
153,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
154,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
