run,generations,generation_to_acceptable,final_distance,elapsed_seconds,valid_route,route
84,85,14,590.999356103329,0.29971300000033807,True,30 9 39 21 10 11 24 8 37 14 38 3 27 1 22 28 26 20 4 25 29 13 36 6 7 18 17 15 19 5 31 34 23 40 16 32 12 35 33 2
85,135,16,568.880673912388,0.4766085999981442,True,28 5 24 15 39 11 21 18 36 7 13 29 10 17 6 23 26 19 20 31 34 3 27 38 8 22 1 14 37 25 4 40 30 9 12 32 35 2 33 16
86,108,21,592.8300516879287,0.38337399999727495,True,16 39 21 18 8 26 28 3 34 31 19 37 29 7 36 24 23 40 4 1 5 27 32 35 38 15 33 2 12 9 30 17 6 11 10 22 20 14 25 13
87,96,15,558.5186612711384,0.3393032999993011,True,40 8 23 33 2 35 32 26 25 4 18 7 13 29 1 36 5 24 28 3 27 21 11 10 15 39 16 12 9 6 30 17 22 31 34 20 14 38 19 37
88,251,24,569.9254942215027,0.8957129000009445,True,40 31 34 14 25 8 29 13 6 17 16 30 23 33 2 35 37 19 26 3 28 27 38 32 39 15 22 1 5 20 4 7 36 18 24 11 10 21 9 12
89,105,26,568.0621674265086,0.37433059999966645,True,4 13 36 7 5 22 10 11 21 26 20 34 31 28 24 15 3 27 35 2 33 23 39 32 6 17 30 9 12 16 38 14 19 8 1 29 18 25 37 40
90,91,14,566.8817764932975,0.3263108999999531,True,17 21 10 11 27 3 22 24 26 25 8 14 19 37 15 7 6 36 13 29 33 2 35 32 38 28 5 31 34 20 1 18 4 23 16 12 39 9 30 40
91,130,22,572.4318438845713,0.4638505000002624,True,30 15 10 22 25 4 7 36 18 13 29 1 34 31 20 8 19 37 40 38 28 5 24 39 9 21 11 6 17 2 32 33 23 26 14 3 27 35 16 12
92,154,14,559.2431377363409,0.5493679999999586,True,21 39 24 8 38 3 5 14 34 31 20 1 29 13 36 18 7 6 17 9 30 15 23 33 2 12 16 32 35 28 27 22 10 11 26 25 4 19 37 40
93,126,21,567.2350277178674,0.44896220000009635,True,10 31 34 20 26 8 38 14 19 37 25 4 18 1 5 28 22 13 29 7 36 17 6 21 32 35 27 3 15 23 30 2 33 12 9 16 39 11 24 40
94,103,10,606.4011678514228,0.3677525999992213,True,17 6 36 18 26 34 31 1 7 24 27 20 5 8 4 25 37 14 38 3 33 23 30 9 12 16 35 32 2 13 29 22 28 21 11 39 15 10 19 40
95,185,18,551.1884166587311,0.6602743000003102,True,4 7 36 29 13 1 27 3 28 5 26 20 14 31 34 38 32 35 2 12 30 17 18 6 9 39 24 10 11 21 15 23 33 16 22 8 25 37 19 40
96,216,12,554.1711606171696,0.7722482999997737,True,23 22 20 4 7 1 8 26 5 31 38 3 27 28 11 39 15 24 6 13 29 34 14 19 37 25 18 36 17 21 10 9 12 16 32 35 2 33 30 40
97,134,20,594.9015768419889,0.47673070000018924,True,18 4 25 20 22 35 38 37 19 14 6 17 36 8 34 31 26 5 3 27 28 15 11 10 21 12 30 32 2 23 16 39 24 1 29 13 7 9 40 33
98,186,24,568.6030651319802,0.6656808000007004,True,34 31 20 1 13 29 6 27 3 5 26 19 37 14 25 4 18 24 17 40 9 30 23 8 7 36 22 10 15 28 38 32 35 2 33 16 39 11 21 12
99,146,16,588.509432761787,0.524209899998823,True,11 6 1 20 8 3 27 26 22 7 25 4 18 36 5 31 34 24 10 39 15 19 37 40 23 16 32 35 2 33 28 38 14 29 13 17 21 30 9 12
100,102,19,578.6317907689803,0.3648166000020865,True,3 27 38 31 26 8 1 28 15 24 23 7 36 29 13 4 25 14 19 35 32 16 12 39 18 17 30 11 21 6 9 10 22 5 34 20 37 40 33 2
